destination_name,total_reviews,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,category,average_rating,policy_class
Curug Ngaleung,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.3,Insufficient Evidence
Curug Orok,38,32,0,6,84.21,0.0,15.79,Tujuan Wisata,4.2,Intervention Priority
Curug Rahong,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Curug Sanghyang Santen,8,8,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Curug Sanghyang Taraje,193,189,0,4,97.93,0.0,2.07,Tujuan Wisata,4.6,Promotional Priority
Curug Tilu Gunung Guntur,14,13,1,0,92.86,7.14,0.0,Tujuan Wisata,4.6,Promotional Priority
Curug Uci,4,4,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
Curug batu belah,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Curug cicadas pakenjeng,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.9,Insufficient Evidence
Curug kembar,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Curug leutik cai,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.0,Insufficient Evidence
D Leuwi Garut,224,214,1,9,95.54,0.45,4.02,Tujuan Wisata,4.5,Promotional Priority
